Date,Open,High,Low,Close,Adj Close,Volume
2021-03-10,40.560001,41.435001,40.285000,41.310001,38.682266,6460112
2021-03-11,41.549999,41.744999,40.904999,41.740002,39.084911,6317586
2021-03-12,41.500000,42.189999,41.470001,42.189999,39.506287,5859380
2021-03-15,41.994999,42.185001,41.040001,41.290001,38.663536,6486139
2021-03-16,41.230000,41.330002,40.330002,40.764999,38.171928,7763507
2021-03-17,40.070000,40.860001,40.009998,40.610001,38.026791,7091584
2021-03-18,40.770000,40.935001,40.185001,40.435001,37.862923,7257522
2021-03-19,39.955002,40.474998,39.500000,40.230000,37.670963,19589808
2021-03-22,40.000000,40.099998,39.689999,39.730000,37.202766,5478764
2021-03-23,39.500000,39.570000,38.860001,39.439999,36.931210,6582096
2021-03-24,39.049999,40.064999,38.919998,40.064999,37.516457,5912545
2021-03-25,39.375000,39.375000,38.020000,38.744999,36.888088,7654953
2021-03-26,39.035000,39.410000,38.834999,39.160000,37.283199,6016964
2021-03-29,39.299999,39.744999,39.029999,39.744999,37.840160,4978205
2021-03-30,39.965000,40.450001,39.849998,40.250000,38.320961,7384999
2021-03-31,40.029999,40.185001,39.540001,39.775002,37.868729,7612862
2021-04-01,39.775002,39.814999,39.099998,39.099998,37.226070,7635402
2021-04-06,38.869999,39.320000,38.810001,38.820000,36.959492,6503814
2021-04-07,38.820000,39.410000,38.700001,38.915001,37.049942,4598272
2021-04-08,38.985001,39.105000,37.924999,38.259998,36.426331,6964071
2021-04-09,38.240002,38.395000,37.674999,37.845001,36.031219,6503641
2021-04-12,37.799999,37.990002,37.490002,37.669998,35.864613,5512721
2021-04-13,38.014999,38.075001,37.650002,37.875000,36.059784,5965920
2021-04-14,38.014999,38.305000,37.715000,38.294998,36.459656,6024321
2021-04-15,38.430000,38.474998,37.889999,38.000000,36.178795,4827479
2021-04-16,37.994999,38.174999,37.779999,37.950001,36.131191,5378963
2021-04-19,37.889999,38.255001,37.730000,38.040001,36.216881,3417176
2021-04-20,38.099998,38.205002,36.764999,36.860001,35.093433,8078750
2021-04-21,37.105000,37.700001,36.799999,36.904999,35.136269,8902901
2021-04-22,36.919998,37.000000,36.419998,36.895000,35.126751,5744256
2021-04-23,36.720001,36.904999,36.535000,36.775002,35.012505,4143678
2021-04-26,36.730000,37.035000,36.365002,36.860001,35.093433,4853080
2021-04-27,36.974998,37.075001,36.665001,36.790001,35.026787,5038308
2021-04-28,37.064999,37.715000,36.924999,37.445000,35.650391,5547579
2021-04-29,38.279999,38.299999,37.035000,37.099998,35.321930,6974192
2021-04-30,37.255001,37.494999,36.509998,36.825001,35.060108,7202915
2021-05-03,37.099998,37.270000,36.794998,37.240002,35.455219,4106273
2021-05-04,37.470001,38.459999,37.349998,37.665001,35.859852,8099356
2021-05-05,38.005001,39.080002,38.005001,39.014999,37.145149,7941114
2021-05-06,39.090000,39.419998,38.720001,39.139999,37.264160,6125235
2021-05-07,39.514999,39.540001,38.580002,39.049999,37.178471,5581911
2021-05-10,39.540001,39.549999,38.994999,39.340000,37.454571,4658841
2021-05-11,38.924999,39.119999,38.305000,38.419998,36.578663,5948412
2021-05-12,38.314999,39.555000,38.070000,39.299999,37.416489,5770670
2021-05-13,38.634998,39.070000,37.820000,38.810001,36.949978,5223652
2021-05-14,38.919998,39.779999,38.750000,39.750000,37.844925,5244515
2021-05-17,39.860001,39.889999,39.130001,39.810001,37.902046,4081153
2021-05-18,40.049999,40.235001,39.634998,39.695000,37.792557,6041487
2021-05-19,39.005001,39.160000,38.000000,38.384998,36.545338,7239048
2021-05-20,38.445000,38.564999,37.980000,38.544998,36.697674,5630563
2021-05-21,38.645000,39.009998,38.450001,39.000000,37.130871,5191318
2021-05-24,39.000000,39.049999,38.650002,39.040001,37.168953,2131708
2021-05-25,39.215000,39.250000,38.299999,38.330002,36.492981,4614236
2021-05-26,38.325001,38.535000,38.064999,38.470001,36.626270,3996706
2021-05-27,38.209999,38.389999,38.044998,38.044998,36.221634,10773976
2021-05-28,38.305000,38.305000,37.915001,38.145000,36.316841,3778193
2021-05-31,38.189999,38.200001,37.810001,37.904999,36.088348,3784945
2021-06-01,38.189999,39.009998,38.110001,38.820000,36.959492,5737898
2021-06-02,39.154999,39.689999,39.064999,39.689999,37.787796,6476694
2021-06-03,39.689999,39.689999,39.689999,39.689999,37.787796,0
2021-06-04,39.689999,39.689999,39.689999,39.689999,37.787796,0
2021-06-07,39.615002,39.759998,39.060001,39.490002,37.597382,4477409
2021-06-08,39.570000,39.759998,39.044998,39.634998,37.735432,3500343
2021-06-09,39.740002,40.014999,39.334999,40.014999,38.097225,4908829
2021-06-10,39.959999,40.240002,39.509998,39.820000,37.911568,4004846
2021-06-11,39.770000,40.330002,39.650002,40.330002,38.397129,4677485
2021-06-14,40.400002,41.150002,40.294998,40.884998,38.925526,8826255
2021-06-15,40.695000,40.915001,40.349998,40.915001,38.954090,5767933
2021-06-16,41.000000,41.224998,40.770000,40.950001,38.987411,5243878
2021-06-17,40.869999,41.459999,40.665001,40.720001,38.768436,5382637
2021-06-18,40.654999,40.680000,39.235001,39.535000,37.640228,14265235
2021-06-21,39.250000,40.365002,38.860001,39.959999,38.044853,5469003
2021-06-22,40.310001,40.549999,39.939999,40.205002,38.278118,4162999
2021-06-23,40.314999,40.720001,40.020000,40.040001,38.121025,4588506
2021-06-24,39.555000,40.360001,39.465000,40.255001,38.968052,7850826
2021-06-25,40.220001,40.320000,39.750000,39.935001,38.658283,4578906
2021-06-28,39.759998,39.884998,38.724998,38.785000,37.545048,6645101
2021-06-29,38.764999,39.115002,38.540001,38.605000,37.370804,4976165
2021-06-30,38.404999,38.634998,37.935001,38.154999,36.935184,8577424
2021-07-01,38.305000,39.055000,38.305000,38.759998,37.520844,5199871
2021-07-02,38.904999,39.154999,38.439999,38.615002,37.380486,4086623
2021-07-05,38.599998,38.849998,38.330002,38.709999,37.472446,2679466
2021-07-06,38.869999,39.150002,37.735001,37.904999,36.693176,6256509
2021-07-07,38.020000,38.299999,37.154999,37.470001,36.272091,8986114
2021-07-08,37.250000,37.389999,36.474998,37.099998,35.913914,8889739
2021-07-09,36.834999,37.450001,36.610001,37.450001,36.252728,6140096
2021-07-12,37.389999,37.689999,36.805000,37.470001,36.272091,4356696
