Date,Open,Close,High,Low
21 Mar 2022,"1,075.00","1,142.50","1,148.75","1,061.75"
18 Mar 2022,"1,095.00","1,063.75","1,106.00","1,055.75"
17 Mar 2022,"1,051.00","1,098.00","1,108.25","1,031.75"
16 Mar 2022,"1,157.25","1,069.25","1,159.50","1,069.25"
15 Mar 2022,"1,106.00","1,154.25","1,160.75","1,088.25"
14 Mar 2022,"1,090.00","1,090.00","1,090.00","1,090.00"
11 Mar 2022,"1,035.75","1,090.00","1,090.00","1,030.75"
10 Mar 2022,"1,073.75","1,073.75","1,073.75","1,073.75"
09 Mar 2022,"1,199.50","1,199.50","1,199.50","1,199.50"
08 Mar 2022,"1,319.25","1,273.00","1,319.25","1,273.00"
07 Mar 2022,"1,311.25","1,425.25","1,425.25","1,311.25"
04 Mar 2022,"1,340.00","1,348.00","1,348.00","1,201.50"
03 Mar 2022,"1,124.25","1,289.00","1,289.00","1,119.00"
02 Mar 2022,"1,009.25","1,058.50","1,132.00",997.50
01 Mar 2022,951.00,"1,001.75","1,004.50",951.00
28 Feb 2022,920.25,928.00,930.50,885.50
25 Feb 2022,923.25,843.00,951.25,841.50
24 Feb 2022,882.75,926.00,926.00,877.25
23 Feb 2022,841.00,876.00,880.00,834.00
22 Feb 2022,815.00,844.25,846.25,803.00
18 Feb 2022,797.50,797.00,812.25,790.00
17 Feb 2022,780.00,798.00,799.25,775.50
16 Feb 2022,779.75,780.50,786.75,773.25
15 Feb 2022,801.25,779.75,801.75,773.00
14 Feb 2022,801.50,799.25,813.50,780.75
11 Feb 2022,770.25,797.75,806.25,764.75
10 Feb 2022,785.50,771.50,801.75,765.75
09 Feb 2022,779.50,785.00,788.25,770.50
08 Feb 2022,771.25,778.75,782.00,754.00
07 Feb 2022,776.00,768.75,776.50,760.00
04 Feb 2022,754.75,763.25,767.25,748.25
03 Feb 2022,754.00,751.75,756.50,740.00
02 Feb 2022,770.00,755.00,778.50,749.25
01 Feb 2022,762.50,769.00,776.75,760.50
31 Jan 2022,793.00,761.25,798.50,756.75
28 Jan 2022,777.25,786.25,793.50,774.75
27 Jan 2022,794.25,777.00,795.50,774.00
26 Jan 2022,817.25,795.00,817.50,787.00
25 Jan 2022,801.00,818.00,831.50,800.50
24 Jan 2022,794.00,800.50,802.50,775.75
21 Jan 2022,788.00,780.00,791.00,778.00
20 Jan 2022,794.00,790.25,802.75,783.75
19 Jan 2022,772.00,796.50,797.25,769.50
18 Jan 2022,742.25,769.00,771.50,741.25
14 Jan 2022,746.00,741.50,747.25,737.00
13 Jan 2022,757.00,746.75,757.75,741.00
12 Jan 2022,768.00,757.75,770.00,753.50
11 Jan 2022,761.75,770.25,770.50,758.25
10 Jan 2022,760.75,762.00,767.50,748.00
07 Jan 2022,748.00,758.50,760.75,735.50
06 Jan 2022,761.75,746.00,762.00,736.00
05 Jan 2022,771.00,760.75,771.50,756.00
04 Jan 2022,758.00,770.00,771.50,756.25
03 Jan 2022,774.00,758.00,782.25,752.75
31 Dec 2021,782.50,770.75,787.75,769.50
30 Dec 2021,789.50,779.75,791.75,776.00
29 Dec 2021,785.25,787.75,793.00,774.00
28 Dec 2021,805.75,783.50,808.00,781.75
27 Dec 2021,817.50,804.00,824.00,802.50
23 Dec 2021,812.50,814.75,820.50,808.25
22 Dec 2021,796.75,814.00,817.00,792.00
21 Dec 2021,778.50,799.00,799.75,772.50
20 Dec 2021,777.50,777.75,778.75,757.75
17 Dec 2021,770.00,775.00,780.25,765.25
16 Dec 2021,757.50,770.50,773.00,751.25
15 Dec 2021,787.00,756.00,787.00,751.00
14 Dec 2021,785.50,785.50,785.50,785.50
13 Dec 2021,779.25,785.50,791.00,779.25
10 Dec 2021,769.25,782.00,783.25,769.00
09 Dec 2021,793.50,773.50,793.50,773.50
08 Dec 2021,799.25,791.25,800.00,787.75
07 Dec 2021,811.00,799.25,812.00,796.00
06 Dec 2021,799.75,797.00,799.75,784.50
03 Dec 2021,809.50,794.50,814.75,794.50
02 Dec 2021,779.50,806.50,809.25,779.50
01 Dec 2021,784.00,778.50,785.50,774.75
30 Nov 2021,808.25,773.75,808.25,770.50
29 Nov 2021,837.75,807.50,840.50,805.00
26 Nov 2021,821.25,825.50,830.50,810.00
25 Nov 2021,-,-,-,-
24 Nov 2021,856.50,836.75,863.25,833.50
23 Nov 2021,846.50,856.00,856.50,838.25
22 Nov 2021,827.50,845.75,848.50,826.00
19 Nov 2021,821.00,823.00,830.75,813.50
18 Nov 2021,824.25,820.00,843.25,819.25
17 Nov 2021,812.00,822.25,835.00,810.50
16 Nov 2021,827.50,810.25,827.50,810.00
15 Nov 2021,819.75,826.25,829.50,813.25
12 Nov 2021,814.25,817.00,826.75,805.50
11 Nov 2021,803.00,812.50,824.75,798.25
10 Nov 2021,783.00,803.00,803.75,778.00
09 Nov 2021,769.25,778.50,783.25,764.50
08 Nov 2021,768.25,768.00,773.00,762.50
05 Nov 2021,774.75,766.50,781.50,765.50
04 Nov 2021,782.00,773.75,794.25,772.25
03 Nov 2021,790.50,781.00,796.75,777.50
02 Nov 2021,798.50,791.50,807.00,789.75
01 Nov 2021,774.50,797.25,800.50,768.25
29 Oct 2021,773.25,772.75,780.00,763.50
28 Oct 2021,760.00,772.50,780.00,751.50
