Date,Open,Close,High,Low
21 Mar 2022,116.85,116.67,116.85,116.53
18 Mar 2022,107.24,107.93,109.57,105.8
17 Mar 2022,98.1,106.64,107.57,97.88
16 Mar 2022,99.04,98.02,103.68,96.95
15 Mar 2022,106.0,99.91,106.46,97.5
14 Mar 2022,112.9,106.9,113.04,103.45
11 Mar 2022,109.72,112.67,113.88,107.13
10 Mar 2022,112.74,109.33,118.33,108.95
09 Mar 2022,129.57,111.14,131.63,108.0
08 Mar 2022,124.25,127.98,133.13,121.37
07 Mar 2022,121.24,123.21,137.0,119.07
04 Mar 2022,110.58,118.11,118.97,109.61
03 Mar 2022,114.25,110.46,119.77,109.42
02 Mar 2022,107.54,112.93,115.05,106.49
01 Mar 2022,100.85,100.85,100.85,100.85
28 Feb 2022,100.48,100.99,104.48,99.9
25 Feb 2022,99.65,97.93,101.99,96.0
24 Feb 2022,97.56,99.08,105.75,97.49
23 Feb 2022,96.63,96.84,98.7,95.8
22 Feb 2022,94.28,96.84,99.44,92.56
18 Feb 2022,92.98,93.54,94.15,90.26
17 Feb 2022,92.09,92.97,94.51,91.82
16 Feb 2022,93.59,94.81,96.07,91.14
15 Feb 2022,95.76,93.28,96.24,92.06
14 Feb 2022,95.31,96.48,96.78,93.46
11 Feb 2022,91.26,94.44,95.64,90.52
10 Feb 2022,91.72,91.41,93.09,90.9
09 Feb 2022,91.27,91.55,92.06,90.06
08 Feb 2022,93.01,90.78,93.01,89.93
07 Feb 2022,92.73,92.69,93.99,92.15
04 Feb 2022,91.04,93.27,93.7,90.89
03 Feb 2022,89.06,91.11,91.29,88.01
02 Feb 2022,89.29,89.47,90.51,88.28
01 Feb 2022,91.29,91.29,91.29,91.29
31 Jan 2022,90.8,91.21,91.3,90.75
28 Jan 2022,89.89,90.03,91.69,89.41
27 Jan 2022,89.78,89.34,91.04,88.98
26 Jan 2022,88.02,89.96,90.48,87.8
25 Jan 2022,87.17,88.2,88.36,86.19
24 Jan 2022,87.65,86.27,88.88,85.02
21 Jan 2022,87.35,87.89,88.22,85.71
20 Jan 2022,87.73,88.38,89.51,87.03
19 Jan 2022,88.45,88.44,89.17,87.63
18 Jan 2022,86.5,87.51,88.55,85.55
14 Jan 2022,84.13,86.06,86.5,84.03
13 Jan 2022,84.78,84.47,85.09,83.79
12 Jan 2022,83.69,84.67,85.2,83.51
11 Jan 2022,80.96,83.72,83.97,80.88
10 Jan 2022,81.79,80.87,82.27,80.49
07 Jan 2022,82.06,81.75,82.99,81.44
06 Jan 2022,80.15,81.99,82.84,79.63
05 Jan 2022,80.08,80.8,81.49,79.55
04 Jan 2022,78.95,80.0,80.55,78.6
03 Jan 2022,77.94,78.98,79.28,77.04
31 Dec 2021,79.2,79.2,79.2,79.2
30 Dec 2021,79.25,79.32,79.62,78.66
29 Dec 2021,79.0,79.23,80.16,78.14
28 Dec 2021,78.87,78.94,79.85,78.47
27 Dec 2021,76.3,78.6,79.06,75.76
23 Dec 2021,75.67,76.85,76.98,74.79
22 Dec 2021,74.04,75.29,75.69,73.59
21 Dec 2021,72.1,73.98,74.26,71.24
20 Dec 2021,73.06,71.52,73.07,69.26
17 Dec 2021,74.51,73.52,74.96,72.62
16 Dec 2021,74.57,75.02,75.59,74.0
15 Dec 2021,73.26,73.88,74.57,72.48
14 Dec 2021,74.3,73.7,75.15,72.57
13 Dec 2021,75.54,74.39,76.39,74.19
10 Dec 2021,74.1,75.15,75.7,73.8
09 Dec 2021,76.02,74.42,76.7,73.83
08 Dec 2021,75.27,75.82,76.37,74.4
07 Dec 2021,73.54,75.44,76.26,73.23
06 Dec 2021,70.3,73.08,73.78,70.29
03 Dec 2021,70.5,69.88,72.6,69.23
02 Dec 2021,68.81,69.67,70.71,65.77
01 Dec 2021,70.14,68.87,72.86,68.15
30 Nov 2021,74.57,70.57,74.57,70.22
29 Nov 2021,73.59,73.44,77.0,72.64
26 Nov 2021,82.27,72.72,82.56,72.11
25 Nov 2021,82.27,82.28,82.56,81.7
24 Nov 2021,82.2,82.25,83.0,81.64
23 Nov 2021,79.42,82.31,82.59,78.57
22 Nov 2021,78.67,79.7,80.09,77.54
19 Nov 2021,81.01,78.89,82.23,78.05
18 Nov 2021,80.28,81.24,81.42,79.27
17 Nov 2021,82.33,80.28,82.36,79.77
16 Nov 2021,82.11,82.43,83.14,81.55
15 Nov 2021,81.92,82.05,82.49,80.68
12 Nov 2021,82.67,82.17,82.87,81.26
11 Nov 2021,82.64,82.87,83.43,81.66
10 Nov 2021,85.16,82.64,85.5,82.09
09 Nov 2021,83.59,84.78,85.14,83.18
08 Nov 2021,82.57,83.43,83.99,82.5
05 Nov 2021,81.0,82.74,83.15,80.27
04 Nov 2021,81.32,80.54,84.5,80.19
03 Nov 2021,84.04,81.99,84.18,81.08
02 Nov 2021,84.42,84.72,85.22,83.76
01 Nov 2021,83.73,84.71,85.11,83.03
29 Oct 2021,84.19,84.38,84.56,84.06
28 Oct 2021,84.18,84.32,84.57,82.31
