Date,Open,Close,High,Low
21 Mar 2022,26.77,27.78,28.09,26.77
18 Mar 2022,26.79,26.71,26.81,26.15
17 Mar 2022,26.89,26.85,27.03,26.44
16 Mar 2022,27.1,26.78,27.46,26.61
15 Mar 2022,26.18,26.71,26.81,25.71
14 Mar 2022,28.6,26.11,28.68,26.11
11 Mar 2022,26.9,28.45,29.34,26.56
10 Mar 2022,27.01,26.42,27.24,26.1
09 Mar 2022,26.62,26.89,27.46,26.55
08 Mar 2022,25.4,25.9,26.61,25.29
07 Mar 2022,24.2,25.47,25.95,23.44
04 Mar 2022,27.17,24.72,27.17,24.72
03 Mar 2022,28.08,27.19,28.34,27.19
02 Mar 2022,27.74,28.01,28.15,27.33
01 Mar 2022,27.92,27.72,28.31,27.62
28 Feb 2022,27.91,27.97,28.17,27.41
25 Feb 2022,27.55,28.29,28.45,27.55
24 Feb 2022,27.7,27.54,28.02,27.05
23 Feb 2022,28.39,28.32,28.64,28.13
22 Feb 2022,28.45,28.32,28.66,28.2
21 Feb 2022,29.64,28.96,29.65,28.62
18 Feb 2022,29.76,29.59,30.15,29.46
17 Feb 2022,30.05,29.74,30.35,29.59
16 Feb 2022,29.5,30.04,30.04,29.37
15 Feb 2022,29.24,29.4,29.7,28.9
14 Feb 2022,29.12,29.36,29.43,28.11
11 Feb 2022,30.79,29.94,31.11,29.63
10 Feb 2022,30.85,31.1,32.3,30.52
09 Feb 2022,29.4,30.7,30.85,29.4
08 Feb 2022,28.6,28.77,28.94,28.4
07 Feb 2022,28.07,28.54,28.54,27.98
04 Feb 2022,28.31,28.04,28.39,27.68
03 Feb 2022,28.5,28.23,28.66,27.84
02 Feb 2022,28.55,28.44,28.66,28.28
01 Feb 2022,28.85,28.5,28.9,28.22
31 Jan 2022,29.1,28.66,29.27,28.52
28 Jan 2022,29.37,28.78,29.4,28.45
27 Jan 2022,28.75,29.43,29.64,28.66
26 Jan 2022,29.28,28.93,29.67,28.78
25 Jan 2022,28.66,29.06,29.27,28.45
24 Jan 2022,28.6,28.56,28.8,28.1
21 Jan 2022,28.49,28.63,28.7,28.26
20 Jan 2022,28.96,28.55,29.03,28.28
19 Jan 2022,28.84,28.92,29.04,28.61
18 Jan 2022,28.59,28.79,28.88,28.53
17 Jan 2022,29.18,28.58,29.33,28.37
14 Jan 2022,28.4,29.07,29.08,28.31
13 Jan 2022,28.24,28.41,28.6,28.14
12 Jan 2022,28.43,28.23,28.49,28.12
11 Jan 2022,28.22,28.26,28.44,28.1
10 Jan 2022,27.99,28.06,28.19,27.81
07 Jan 2022,27.96,27.94,28.22,27.77
06 Jan 2022,27.7,27.94,28.37,27.56
05 Jan 2022,28.03,27.92,28.07,27.56
04 Jan 2022,27.37,27.97,28.05,27.35
03 Jan 2022,26.41,27.22,27.26,26.4
31 Dec 2021,26.65,26.26,26.65,26.26
30 Dec 2021,26.74,26.62,26.85,26.61
29 Dec 2021,26.69,26.83,26.98,26.67
28 Dec 2021,26.74,26.55,26.93,26.55
27 Dec 2021,26.59,26.71,26.83,26.53
24 Dec 2021,26.61,26.62,26.71,26.55
23 Dec 2021,26.19,26.7,26.76,26.19
22 Dec 2021,25.65,26.19,26.31,25.65
21 Dec 2021,26.0,25.65,26.29,25.58
20 Dec 2021,25.45,25.5,25.63,24.93
17 Dec 2021,24.81,25.87,25.89,24.75
16 Dec 2021,24.72,24.7,24.98,24.69
15 Dec 2021,24.56,24.52,24.7,24.35
14 Dec 2021,24.56,24.56,24.72,24.28
13 Dec 2021,25.4,24.64,25.45,24.57
10 Dec 2021,25.1,25.47,25.58,25.08
09 Dec 2021,25.35,25.23,25.43,25.03
08 Dec 2021,25.55,25.3,25.78,25.2
07 Dec 2021,26.0,25.62,26.14,25.48
06 Dec 2021,25.5,25.93,25.98,25.42
03 Dec 2021,25.23,25.39,25.47,25.15
02 Dec 2021,24.76,25.05,25.05,24.56
01 Dec 2021,24.49,24.94,25.31,24.48
30 Nov 2021,24.68,24.28,24.73,24.14
29 Nov 2021,25.1,24.82,25.39,24.7
26 Nov 2021,25.58,25.0,25.71,24.47
25 Nov 2021,26.27,26.05,26.51,25.88
24 Nov 2021,26.54,26.22,26.54,26.0
23 Nov 2021,26.08,26.57,26.59,26.02
22 Nov 2021,26.01,26.4,26.43,25.92
19 Nov 2021,26.74,26.05,26.84,25.82
18 Nov 2021,27.51,26.61,27.51,26.61
17 Nov 2021,27.81,27.53,27.93,27.53
16 Nov 2021,28.1,27.77,28.29,27.72
15 Nov 2021,28.0,28.01,28.18,27.88
12 Nov 2021,28.04,27.95,28.23,27.82
11 Nov 2021,28.6,28.08,28.6,27.93
10 Nov 2021,28.68,28.7,28.96,28.31
09 Nov 2021,28.31,28.2,28.49,28.03
08 Nov 2021,28.46,28.37,28.77,28.3
05 Nov 2021,27.76,28.57,28.81,27.75
04 Nov 2021,27.64,27.8,28.06,27.64
03 Nov 2021,27.76,27.56,27.78,27.53
02 Nov 2021,27.88,27.79,28.02,27.64
