Date,Open,Close,High,Low
21 Mar 2022,1075.0,1116.75,1148.75,1061.75
18 Mar 2022,1095.0,1063.75,1106.0,1055.75
17 Mar 2022,1051.0,1098.0,1108.25,1031.75
16 Mar 2022,1157.25,1069.25,1159.5,1069.25
15 Mar 2022,1106.0,1154.25,1160.75,1088.25
14 Mar 2022,1090.0,1090.0,1090.0,1090.0
11 Mar 2022,1035.75,1090.0,1090.0,1030.75
10 Mar 2022,1073.75,1073.75,1073.75,1073.75
09 Mar 2022,1199.5,1199.5,1199.5,1199.5
08 Mar 2022,1319.25,1273.0,1319.25,1273.0
07 Mar 2022,1311.25,1425.25,1425.25,1311.25
04 Mar 2022,1340.0,1348.0,1348.0,1201.5
03 Mar 2022,1124.25,1289.0,1289.0,1119.0
02 Mar 2022,1009.25,1058.5,1132.0,997.5
01 Mar 2022,951.0,1001.75,1004.5,951.0
28 Feb 2022,920.25,928.0,930.5,885.5
25 Feb 2022,923.25,843.0,951.25,841.5
24 Feb 2022,882.75,926.0,926.0,877.25
23 Feb 2022,841.0,876.0,880.0,834.0
22 Feb 2022,815.0,844.25,846.25,803.0
18 Feb 2022,797.5,797.0,812.25,790.0
17 Feb 2022,780.0,798.0,799.25,775.5
16 Feb 2022,779.75,780.5,786.75,773.25
15 Feb 2022,801.25,779.75,801.75,773.0
14 Feb 2022,801.5,799.25,813.5,780.75
11 Feb 2022,770.25,797.75,806.25,764.75
10 Feb 2022,785.5,771.5,801.75,765.75
09 Feb 2022,779.5,785.0,788.25,770.5
08 Feb 2022,771.25,778.75,782.0,754.0
07 Feb 2022,776.0,768.75,776.5,760.0
04 Feb 2022,754.75,763.25,767.25,748.25
03 Feb 2022,754.0,751.75,756.5,740.0
02 Feb 2022,770.0,755.0,778.5,749.25
01 Feb 2022,762.5,769.0,776.75,760.5
31 Jan 2022,793.0,761.25,798.5,756.75
28 Jan 2022,777.25,786.25,793.5,774.75
27 Jan 2022,794.25,777.0,795.5,774.0
26 Jan 2022,817.25,795.0,817.5,787.0
25 Jan 2022,801.0,818.0,831.5,800.5
24 Jan 2022,794.0,800.5,802.5,775.75
21 Jan 2022,788.0,780.0,791.0,778.0
20 Jan 2022,794.0,790.25,802.75,783.75
19 Jan 2022,772.0,796.5,797.25,769.5
18 Jan 2022,742.25,769.0,771.5,741.25
14 Jan 2022,746.0,741.5,747.25,737.0
13 Jan 2022,757.0,746.75,757.75,741.0
12 Jan 2022,768.0,757.75,770.0,753.5
11 Jan 2022,761.75,770.25,770.5,758.25
10 Jan 2022,760.75,762.0,767.5,748.0
07 Jan 2022,748.0,758.5,760.75,735.5
06 Jan 2022,761.75,746.0,762.0,736.0
05 Jan 2022,771.0,760.75,771.5,756.0
04 Jan 2022,758.0,770.0,771.5,756.25
03 Jan 2022,774.0,758.0,782.25,752.75
31 Dec 2021,782.5,770.75,787.75,769.5
30 Dec 2021,789.5,779.75,791.75,776.0
29 Dec 2021,785.25,787.75,793.0,774.0
28 Dec 2021,805.75,783.5,808.0,781.75
27 Dec 2021,817.5,804.0,824.0,802.5
23 Dec 2021,812.5,814.75,820.5,808.25
22 Dec 2021,796.75,814.0,817.0,792.0
21 Dec 2021,778.5,799.0,799.75,772.5
20 Dec 2021,777.5,777.75,778.75,757.75
17 Dec 2021,770.0,775.0,780.25,765.25
16 Dec 2021,757.5,770.5,773.0,751.25
15 Dec 2021,787.0,756.0,787.0,751.0
14 Dec 2021,785.5,785.5,785.5,785.5
13 Dec 2021,779.25,785.5,791.0,779.25
10 Dec 2021,769.25,782.0,783.25,769.0
09 Dec 2021,793.5,773.5,793.5,773.5
08 Dec 2021,799.25,791.25,800.0,787.75
07 Dec 2021,811.0,799.25,812.0,796.0
06 Dec 2021,799.75,797.0,799.75,784.5
03 Dec 2021,809.5,794.5,814.75,794.5
02 Dec 2021,779.5,806.5,809.25,779.5
01 Dec 2021,784.0,778.5,785.5,774.75
30 Nov 2021,808.25,773.75,808.25,770.5
29 Nov 2021,837.75,807.5,840.5,805.0
26 Nov 2021,821.25,825.5,830.5,810.0
25 Nov 2021,,,,
24 Nov 2021,856.5,836.75,863.25,833.5
23 Nov 2021,846.5,856.0,856.5,838.25
22 Nov 2021,827.5,845.75,848.5,826.0
19 Nov 2021,821.0,823.0,830.75,813.5
18 Nov 2021,824.25,820.0,843.25,819.25
17 Nov 2021,812.0,822.25,835.0,810.5
16 Nov 2021,827.5,810.25,827.5,810.0
15 Nov 2021,819.75,826.25,829.5,813.25
12 Nov 2021,814.25,817.0,826.75,805.5
11 Nov 2021,803.0,812.5,824.75,798.25
10 Nov 2021,783.0,803.0,803.75,778.0
09 Nov 2021,769.25,778.5,783.25,764.5
08 Nov 2021,768.25,768.0,773.0,762.5
05 Nov 2021,774.75,766.5,781.5,765.5
04 Nov 2021,782.0,773.75,794.25,772.25
03 Nov 2021,790.5,781.0,796.75,777.5
02 Nov 2021,798.5,791.5,807.0,789.75
01 Nov 2021,774.5,797.25,800.5,768.25
29 Oct 2021,773.25,772.75,780.0,763.5
28 Oct 2021,760.0,772.5,780.0,751.5
