Date,Open,High,Low,Close,Close_Adj,Num_Transactions
2022-04-14,8.56,8.58,8.44,8.51,8.51,inf
2022-04-13,8.32,8.65,8.25,8.53,8.53,inf
2022-04-12,8.45,8.45,8.2,8.33,8.33,inf
2022-04-11,8.56,8.7,8.54,8.56,8.56,inf
2022-04-08,8.55,8.61,8.47,8.61,8.61,inf
2022-04-07,8.32,8.66,8.32,8.44,8.44,inf
2022-04-06,8.34,8.38,8.06,8.31,8.31,inf
2022-04-05,8.52,8.63,8.28,8.38,8.38,inf
2022-04-04,8.53,8.58,8.42,8.5,8.5,inf
2022-04-01,8.56,8.66,8.5,8.5,8.5,inf
2022-03-31,8.76,8.81,8.5,8.53,8.53,inf
2022-03-30,8.6,8.8,8.51,8.75,8.75,inf
2022-03-29,8.42,8.66,8.34,8.65,8.65,inf
2022-03-28,8.32,8.51,8.31,8.35,8.35,inf
2022-03-25,8.53,8.58,8.23,8.37,8.37,inf
2022-03-24,8.7,8.76,8.46,8.59,8.59,inf
2022-03-23,9.0,9.04,8.63,8.77,8.77,inf
2022-03-22,8.75,8.99,8.74,8.99,8.99,inf
2022-03-21,8.99,8.99,8.75,8.75,8.75,inf
2022-03-18,8.8,9.15,8.7,9.05,9.05,inf
2022-03-17,8.55,8.94,8.53,8.9,8.9,inf
2022-03-16,8.51,8.61,8.34,8.47,8.47,inf
2022-03-15,8.32,8.44,8.12,8.37,8.37,inf
2022-03-14,8.3,8.4,8.06,8.34,8.34,inf
2022-03-11,8.27,9.09,8.24,8.73,8.73,inf
2022-03-10,8.32,8.43,8.15,8.28,8.28,inf
2022-03-09,7.85,8.36,7.76,8.26,8.26,inf
2022-03-08,7.39,8.03,7.39,7.68,7.68,inf
2022-03-07,7.3,7.38,6.95,7.27,7.27,inf
2022-03-04,7.61,7.78,7.45,7.45,7.45,inf
2022-03-03,7.95,8.01,7.63,7.63,7.63,inf
2022-03-02,7.86,7.94,7.7,7.89,7.89,inf
2022-03-01,8.17,8.21,7.94,7.95,7.95,inf
2022-02-28,7.84,8.15,7.81,8.13,8.13,inf
2022-02-25,7.55,8.04,7.48,7.93,7.93,inf
2022-02-24,7.59,7.59,7.2,7.5,7.5,inf
2022-02-23,8.04,8.08,7.81,7.83,7.83,inf
2022-02-22,7.87,8.0,7.76,7.96,7.96,inf
2022-02-21,8.01,8.26,7.96,7.98,7.98,inf
2022-02-18,8.25,8.3,7.9,8.14,8.14,inf
2022-02-17,8.37,8.56,8.14,8.34,8.34,inf
2022-02-16,8.4,8.45,8.29,8.35,8.35,inf
2022-02-15,8.15,8.44,8.14,8.39,8.39,inf
2022-02-14,8.26,8.28,8.06,8.14,8.14,inf
2022-02-11,8.57,8.57,8.19,8.4,8.4,inf
2022-02-10,8.6,8.72,8.51,8.61,8.61,inf
