Date,Open,High,Low,Close,Close_Adj,Num_Transactions
2022-04-14,26.76,26.91,24.77,24.87,24.87,inf
2022-04-13,26.94,27.14,26.73,27.14,27.14,inf
2022-04-12,26.5,26.98,26.2,26.9,26.9,inf
2022-04-11,26.44,26.97,26.41,26.77,26.77,inf
2022-04-08,26.35,26.45,26.12,26.44,26.44,inf
2022-04-07,26.32,26.54,25.93,25.93,25.93,inf
2022-04-06,26.57,26.6,26.15,26.28,26.28,inf
2022-04-05,26.78,26.86,26.42,26.53,26.53,inf
2022-04-04,27.2,27.39,26.58,26.78,26.78,inf
2022-04-01,26.75,27.36,26.66,27.03,27.03,inf
2022-03-31,26.88,27.09,26.66,26.67,26.67,inf
2022-03-30,26.98,27.04,26.62,26.91,26.91,inf
2022-03-29,27.05,27.15,26.76,26.98,26.98,inf
2022-03-28,27.07,27.66,26.74,26.76,26.76,inf
2022-03-25,26.92,27.05,26.38,26.93,26.93,inf
2022-03-24,27.55,27.59,26.81,26.81,26.81,inf
2022-03-23,27.75,28.01,27.46,27.53,27.53,inf
2022-03-22,27.89,28.17,27.61,27.74,27.74,inf
2022-03-21,26.77,28.09,26.77,27.78,27.78,inf
2022-03-18,26.79,26.81,26.15,26.71,26.71,inf
2022-03-17,26.89,27.03,26.44,26.85,26.85,inf
2022-03-16,27.1,27.46,26.61,26.78,26.78,inf
2022-03-15,26.18,26.81,25.71,26.71,26.71,inf
2022-03-14,28.6,28.68,26.11,26.11,26.11,inf
2022-03-11,26.9,29.34,26.56,28.45,28.45,inf
2022-03-10,27.01,27.24,26.1,26.42,26.42,inf
2022-03-09,26.62,27.46,26.55,26.89,26.89,inf
2022-03-08,25.4,26.61,25.29,25.9,25.9,inf
2022-03-07,24.2,25.95,23.44,25.47,25.47,inf
2022-03-04,27.17,27.17,24.72,24.72,24.72,inf
2022-03-03,28.08,28.34,27.19,27.19,27.19,inf
2022-03-02,27.74,28.15,27.33,28.01,28.01,inf
2022-03-01,27.92,28.31,27.62,27.72,27.72,inf
2022-02-28,27.91,28.17,27.41,27.97,27.97,inf
2022-02-25,27.55,28.45,27.55,28.29,28.29,inf
2022-02-24,27.7,28.02,27.05,27.54,27.54,inf
2022-02-23,28.39,28.64,28.13,28.32,28.32,inf
2022-02-22,28.45,28.66,28.2,28.32,28.32,inf
2022-02-21,29.64,29.65,28.62,28.96,28.96,inf
2022-02-18,29.76,30.15,29.46,29.59,29.59,inf
2022-02-17,30.05,30.35,29.59,29.74,29.74,inf
2022-02-16,29.5,30.04,29.37,30.04,30.04,inf
2022-02-15,29.24,29.7,28.9,29.4,29.4,inf
2022-02-14,29.12,29.43,28.11,29.36,29.36,inf
2022-02-11,30.79,31.11,29.63,29.94,29.94,inf
2022-02-10,30.85,32.3,30.52,31.1,31.1,inf
2022-02-09,29.4,30.85,29.4,30.7,30.7,inf
2022-02-08,28.6,28.94,28.4,28.77,28.77,inf
2022-02-07,28.07,28.54,27.98,28.54,28.54,inf
2022-02-04,28.31,28.39,27.68,28.04,28.04,inf
2022-02-03,28.5,28.66,27.84,28.23,28.23,inf
2022-02-02,28.55,28.66,28.28,28.44,28.44,inf
2022-02-01,28.85,28.9,28.22,28.5,28.5,inf
2022-01-31,29.1,29.27,28.52,28.66,28.66,inf
2022-01-28,29.37,29.4,28.45,28.78,28.78,inf
2022-01-27,28.75,29.64,28.66,29.43,29.43,inf
2022-01-26,29.28,29.67,28.78,28.93,28.93,inf
2022-01-25,28.66,29.27,28.45,29.06,29.06,inf
2022-01-24,28.6,28.8,28.1,28.56,28.56,inf
2022-01-21,28.49,28.7,28.26,28.63,28.63,inf
2022-01-20,28.96,29.03,28.28,28.55,28.55,inf
2022-01-19,28.84,29.04,28.61,28.92,28.92,inf
2022-01-18,28.59,28.88,28.53,28.79,28.79,inf
2022-01-17,29.18,29.33,28.37,28.58,28.58,inf
2022-01-14,28.4,29.08,28.31,29.07,29.07,inf
2022-01-13,28.24,28.6,28.14,28.41,28.41,inf
2022-01-12,28.43,28.49,28.12,28.23,28.23,inf
2022-01-11,28.22,28.44,28.1,28.26,28.26,inf
2022-01-10,27.99,28.19,27.81,28.06,28.06,inf
2022-01-07,27.96,28.22,27.77,27.94,27.94,inf
2022-01-06,27.7,28.37,27.56,27.94,27.94,inf
2022-01-05,28.03,28.07,27.56,27.92,27.92,inf
2022-01-04,27.37,28.05,27.35,27.97,27.97,inf
2022-01-03,26.41,27.26,26.4,27.22,27.22,inf
2021-12-31,26.65,26.65,26.26,26.26,26.26,inf
2021-12-30,26.74,26.85,26.61,26.62,26.62,inf
2021-12-29,26.69,26.98,26.67,26.83,26.83,inf
2021-12-28,26.74,26.93,26.55,26.55,26.55,inf
2021-12-27,26.59,26.83,26.53,26.71,26.71,inf
2021-12-24,26.61,26.71,26.55,26.62,26.62,43170.0
2021-12-23,26.19,26.76,26.19,26.7,26.7,inf
2021-12-22,25.65,26.31,25.65,26.19,26.19,inf
2021-12-21,26.0,26.29,25.58,25.65,25.65,inf
2021-12-20,25.45,25.63,24.93,25.5,25.5,inf
2021-12-17,24.81,25.89,24.75,25.87,25.87,inf
2021-12-16,24.72,24.98,24.69,24.7,24.7,inf
2021-12-15,24.56,24.7,24.35,24.52,24.52,inf
2021-12-14,24.56,24.72,24.28,24.56,24.56,inf
2021-12-13,25.4,25.45,24.57,24.64,24.64,inf
2021-12-10,25.1,25.58,25.08,25.47,25.47,inf
2021-12-09,25.35,25.43,25.03,25.23,25.23,inf
2021-12-08,25.55,25.78,25.2,25.3,25.3,inf
2021-12-07,26.0,26.14,25.48,25.62,25.62,inf
2021-12-06,25.5,25.98,25.42,25.93,25.93,inf
2021-12-03,25.23,25.47,25.15,25.39,25.39,inf
2021-12-02,24.76,25.05,24.56,25.05,25.05,inf
2021-12-01,24.49,25.31,24.48,24.94,24.94,inf
2021-11-30,24.68,24.73,24.14,24.28,24.28,inf
2021-11-29,25.1,25.39,24.7,24.82,24.82,inf
2021-11-26,25.58,25.71,24.47,25.0,25.0,inf
