Date,Open,High,Low,Close,Close_Adj,Num_Transactions
2022-04-14,102.48,104.32,102.32,103.88,103.88,inf
2022-04-13,101.28,102.02,100.28,102.02,102.02,inf
2022-04-12,99.73,102.52,99.53,101.54,101.54,inf
2022-04-11,100.72,103.6,99.52,102.0,102.0,inf
2022-04-08,101.98,104.46,101.22,101.7,101.7,inf
2022-04-07,102.0,103.3,100.46,100.72,100.72,inf
2022-04-06,102.9,104.28,101.1,101.1,101.1,inf
2022-04-05,106.28,106.56,102.02,103.18,103.18,inf
2022-04-04,107.48,107.66,105.34,106.62,106.62,inf
2022-04-01,107.3,107.64,106.26,106.98,106.98,inf
2022-03-31,108.3,108.62,106.52,107.26,107.26,inf
2022-03-30,109.34,109.76,106.56,108.04,108.04,inf
2022-03-29,106.14,110.78,105.5,110.12,110.12,inf
2022-03-28,105.08,106.26,103.62,103.62,103.62,inf
2022-03-25,104.78,105.36,103.16,104.46,104.46,inf
2022-03-24,104.06,104.88,101.9,104.56,104.56,inf
2022-03-23,104.74,105.4,103.24,104.32,104.32,inf
2022-03-22,103.78,105.02,102.74,104.94,104.94,inf
2022-03-21,106.02,106.52,102.98,103.56,103.56,inf
2022-03-18,106.98,107.04,103.58,106.54,106.54,inf
2022-03-17,107.74,108.12,104.52,106.84,106.84,inf
2022-03-16,106.02,109.78,105.32,108.04,108.04,inf
2022-03-15,104.26,104.54,101.28,103.18,103.18,inf
2022-03-14,105.52,108.12,104.56,105.34,105.34,inf
2022-03-11,101.02,106.52,101.0,104.14,104.14,inf
2022-03-10,104.78,105.04,99.12,101.26,101.26,inf
2022-03-09,99.56,104.48,98.68,104.48,104.48,inf
2022-03-08,94.0,99.28,93.4,95.45,95.45,inf
2022-03-07,93.79,98.84,91.48,95.31,95.31,inf
2022-03-04,102.26,103.26,95.65,97.0,97.0,inf
2022-03-03,108.3,109.76,103.3,103.76,103.76,inf
2022-03-02,103.64,109.8,100.56,108.26,108.26,inf
2022-03-01,114.74,114.74,103.7,103.7,103.7,inf
2022-02-28,112.1,115.42,110.92,114.7,114.7,inf
2022-02-25,108.62,114.8,107.9,114.54,114.54,inf
2022-02-24,108.56,109.9,103.3,108.1,108.1,inf
2022-02-23,112.9,116.34,111.74,112.34,112.34,inf
2022-02-22,108.68,113.62,108.02,113.18,113.18,inf
2022-02-21,114.66,115.14,110.66,111.0,111.0,inf
2022-02-18,114.06,115.24,112.72,113.44,113.44,inf
2022-02-17,115.4,116.88,113.1,114.36,114.36,inf
2022-02-16,115.3,117.2,114.7,116.0,116.0,inf
2022-02-15,111.8,115.54,111.38,115.0,115.0,inf
2022-02-14,112.5,113.3,109.02,112.22,112.22,inf
2022-02-11,113.46,115.58,113.02,115.02,115.02,inf
2022-02-10,113.3,115.3,112.22,115.08,115.08,inf
2022-02-09,109.7,113.22,109.68,112.66,112.66,inf
2022-02-08,107.6,109.28,107.3,108.74,108.74,inf
2022-02-07,106.5,107.88,105.38,107.54,107.54,inf
2022-02-04,107.98,108.8,104.66,106.16,106.16,inf
2022-02-03,109.84,110.66,107.24,107.42,107.42,inf
2022-02-02,111.14,113.54,109.56,109.86,109.86,inf
2022-02-01,108.78,111.1,108.68,110.98,110.98,inf
