Date,Open,High,Low,Close,Adj Close,Volume
2021-03-10,40.840000,41.799999,40.779999,41.500000,39.694778,211945
2021-03-11,41.580002,41.820000,40.700001,40.880001,39.101749,256601
2021-03-12,41.240002,41.820000,40.500000,41.360001,39.560871,208743
2021-03-15,41.419998,41.660000,40.619999,40.799999,39.025227,175803
2021-03-16,40.779999,40.959999,40.419998,40.599998,38.833927,250369
2021-03-17,40.700001,40.720001,40.080002,40.360001,38.604370,228095
2021-03-18,40.439999,40.560001,40.160000,40.299999,38.546978,167324
2021-03-19,40.080002,40.160000,39.740002,40.119999,38.374809,421452
2021-03-22,40.160000,40.320000,39.900002,40.299999,38.546978,164701
2021-03-23,40.099998,40.299999,39.820000,40.060001,38.317421,194081
2021-03-24,39.939999,40.380001,39.779999,40.380001,38.623501,209085
2021-03-25,40.220001,40.419998,39.860001,40.180000,38.432198,202309
2021-03-26,40.380001,40.820000,40.320000,40.480000,38.719147,164738
2021-03-29,40.520000,40.680000,40.200001,40.540001,38.776539,211597
2021-03-30,40.700001,41.700001,40.680000,40.900002,39.120880,247084
2021-03-31,40.980000,41.200001,40.320000,40.400002,38.642632,219764
2021-04-01,40.660000,41.730000,40.619999,41.130001,39.340874,251846
2021-04-06,41.470001,41.820000,41.160000,41.340000,39.541740,196473
2021-04-07,41.360001,42.049999,41.360001,41.849998,40.029552,199893
2021-04-08,41.970001,42.230000,41.720001,41.750000,39.933903,194667
2021-04-09,41.599998,41.599998,40.119999,40.200001,38.451328,276380
2021-04-12,40.279999,40.570000,39.849998,40.009998,38.269592,271154
2021-04-13,40.080002,40.250000,39.490002,39.959999,38.221767,212966
2021-04-14,40.110001,40.110001,39.520000,39.799999,38.068726,159262
2021-04-15,39.820000,40.000000,39.220001,39.360001,37.647869,213400
2021-04-16,39.610001,39.930000,39.209999,39.450001,37.733955,258937
2021-04-19,39.459999,39.889999,39.380001,39.650002,37.925255,131080
2021-04-20,39.639999,39.639999,39.320000,39.459999,37.743519,266987
2021-04-21,39.430000,39.540001,38.630001,38.930000,37.236572,206092
2021-04-22,38.900002,39.360001,38.799999,39.020000,37.322659,183938
2021-04-23,38.889999,38.910000,38.299999,38.470001,36.796585,166135
2021-04-26,38.529999,39.070000,38.529999,38.849998,37.160049,149515
2021-04-27,38.919998,39.500000,38.799999,39.000000,37.303528,225355
2021-04-28,39.009998,39.299999,38.869999,39.250000,37.542652,129914
2021-04-29,39.410000,39.639999,39.119999,39.419998,37.705257,257365
2021-04-30,39.419998,39.500000,39.049999,39.049999,37.351353,217713
2021-05-03,39.099998,39.459999,38.970001,39.250000,37.542652,108281
2021-05-04,39.230000,39.730000,39.070000,39.209999,37.504391,184994
2021-05-05,39.330002,39.720001,39.180000,39.720001,37.992210,170359
2021-05-06,39.730000,40.080002,39.630001,39.919998,38.183506,187962
2021-05-07,38.900002,39.000000,37.029999,37.480000,35.849648,730342
2021-05-10,37.770000,38.500000,37.619999,37.810001,36.165295,354676
2021-05-11,37.709999,38.299999,36.959999,37.090000,35.476612,479469
2021-05-12,37.349998,38.830002,37.320000,38.520000,36.844406,401118
2021-05-13,38.320000,38.500000,37.889999,38.389999,36.720062,123561
2021-05-14,38.459999,38.869999,38.220001,38.810001,37.121796,162304
2021-05-17,38.810001,39.110001,38.810001,39.060001,37.360920,182228
2021-05-18,39.070000,39.380001,38.730000,39.169998,37.466129,235810
2021-05-19,38.930000,39.060001,38.599998,38.880001,37.188747,185975
2021-05-20,38.910000,39.209999,38.790001,38.790001,37.102665,183597
2021-05-21,38.730000,39.119999,38.580002,39.029999,37.332222,153694
2021-05-24,39.099998,39.310001,39.000000,39.000000,37.303528,84901
2021-05-25,39.099998,39.150002,38.529999,38.549999,36.873100,175446
2021-05-26,38.540001,38.709999,38.419998,38.660000,36.978317,114234
2021-05-27,38.660000,39.099998,38.630001,38.980000,37.284397,323308
2021-05-28,39.189999,39.599998,38.889999,39.459999,37.743519,218733
2021-05-31,39.459999,40.040001,39.459999,39.549999,37.829601,180586
2021-06-01,39.790001,40.919998,39.750000,40.270000,38.518284,271446
2021-06-02,40.470001,40.849998,40.389999,40.740002,38.967842,216543
2021-06-03,40.799999,41.189999,40.639999,41.020000,39.235661,320961
2021-06-04,41.090000,41.630001,41.060001,41.470001,39.666084,244194
2021-06-07,41.430000,41.540001,41.150002,41.380001,39.580002,139688
2021-06-08,41.360001,41.680000,41.040001,41.299999,39.503479,177491
2021-06-09,41.310001,41.419998,41.080002,41.200001,39.407829,147514
2021-06-10,41.400002,41.900002,41.090000,41.689999,39.876514,261139
2021-06-11,41.700001,42.130001,41.529999,42.119999,40.287807,222880
